trade_date,spvxtstr,spvxtstr_return,spvxtstr_index
2019-05-28,209661.8000000000,-0.0067907718,2.0781824435
2019-05-29,209509.9000000000,-0.0007245001,2.0766768001
2019-05-30,209435.7000000000,-0.0003541599,2.0759413245
2019-05-31,209629.7000000000,0.0009262986,2.0778642661
2019-06-03,209135.7000000000,-0.0023565363,2.0729677035
2019-06-04,208095.7000000000,-0.0049728478,2.0626591507
2019-06-05,209653.7000000000,0.0074869399,2.0781021558
2019-06-06,208814.5000000000,-0.0040027913,2.0697839466
2019-06-07,209435.9000000000,0.0029758470,2.0759433069
2019-06-10,209076.1000000000,-0.0017179481,2.0723769441
2019-06-11,209536.5000000000,0.0022020690,2.0769404612
2019-06-12,211098.6000000000,0.0074550257,2.0924241058
2019-06-13,210813.7000000000,-0.0013496063,2.0896001570
2019-06-14,211515.5000000000,0.0033290057,2.0965564478
2019-06-17,210890.1000000000,-0.0029567573,2.0903574392
2019-06-18,211593.9000000000,0.0033372833,2.0973335540
2019-06-19,215152.3000000000,0.0168171200,2.1326046640
2019-06-20,211832.2000000000,-0.0154313944,2.0996956003
2019-06-21,213529.5000000000,0.0080124740,2.1165193568
2019-06-24,213670.9000000000,0.0006622036,2.1179209235
2019-06-25,214879.9000000000,0.0056582342,2.1299046162
2019-06-26,214817.3000000000,-0.0002913255,2.1292841206
2019-06-27,215223.4000000000,0.0018904436,2.1333094122
2019-06-28,214753.5000000000,-0.0021833128,2.1286517305
2019-07-01,215618.6000000000,0.0040283395,2.1372266623
2019-07-02,217111.2000000000,0.0069224084,2.1520214180
2019-07-03,217137.6000000000,0.0001215967,2.1522830966
2019-07-05,215701.8000000000,-0.0066123969,2.1380513465
2019-07-08,215387.1000000000,-0.0014589586,2.1349320181
2019-07-09,216558.4000000000,0.0054381158,2.1465420257
2019-07-10,218458.8000000000,0.0087754620,2.1653789236
2019-07-11,218445.3000000000,-0.0000617965,2.1652451106
2019-07-12,219770.3000000000,0.0060655917,2.1783786034
2019-07-15,220997.3000000000,0.0055831020,2.1905407133
2019-07-16,223105.3000000000,0.0095385781,2.2114353569
2019-07-17,223068.5000000000,-0.0001649445,2.2110705928
2019-07-18,223901.1000000000,0.0037324858,2.2193233823
2019-07-19,221353.7000000000,-0.0113773447,2.1940733751
2019-07-22,225290.1000000000,0.0177833034,2.2330912475
2019-07-23,224255.6000000000,-0.0045918573,2.2228372111
2019-07-24,223643.8000000000,-0.0027281370,2.2167730067
2019-07-25,224990.2000000000,0.0060202876,2.2301186177
2019-07-26,225453.6000000000,0.0020596453,2.2347118710
2019-07-29,223830.3000000000,-0.0072001512,2.2186216077
2019-07-30,223966.3000000000,0.0006076032,2.2199696492
2019-07-31,223433.2000000000,-0.0023802688,2.2146855247
2019-08-01,218993.4000000000,-0.0198708160,2.1706779162
2019-08-02,218632.2000000000,-0.0016493648,2.1670976765
2019-08-05,211645.0000000000,-0.0319586959,2.0978400608
2019-08-06,215009.4000000000,0.0158964303,2.1311882292
2019-08-07,215012.7000000000,0.0000153482,2.1312209390
2019-08-08,215067.9000000000,0.0002567290,2.1317680853
2019-08-09,214856.5000000000,-0.0009829454,2.1296726737
2019-08-12,214362.5000000000,-0.0022992090,2.1247761111
2019-08-13,216001.7000000000,0.0076468599,2.1410239763
2019-08-14,215585.1000000000,-0.0019286885,2.1368946079
